,job_id,date_posted,scraping_date,title,location,company,industry,job_level,job_type,workplace_type,company_size,total_applicants
0,1,1 week ago,2023-06-08,Data Analyst,"Lelley, England, United Kingdom",Revorec Recruitment Solutions Ltd,Staffing and Recruiting,Entry level,Full-time,On-site,11-50 employees,22
1,2,1 week ago,2023-06-08,RPG iSeries Senior Analyst,Sub-Saharan Africa,Vignetic,Human Resources Services,Mid-Senior level,Full-time,Remote,51-200 employees,150
2,3,1 week ago,2023-06-08,Technical Lead,Latin America,Nimble Giant Entertainment,Computer Games,Director,Full-time,Remote,201-500 employees,34
3,4,1 week ago,2023-06-08,DataOps Engineer,Latin America,Andela,IT Services and IT Consulting,Mid-Senior level,Contract,Remote,201-500 employees,73
4,5,2 days ago,2023-06-08,Privacy Analyst,NAMER,6sense,Software Development,Contract,,Remote,"1,001-5,000 employees",619
5,6,2 weeks ago,2023-06-08,Solution Architect,NAMER,Entrust,Software Development,Mid-Senior level,Full-time,Remote,"1,001-5,000 employees",0
6,7,3 weeks ago,2023-06-08,Data Analyst,"Princeton, NJ",Diverse Lynx,Software Development,Entry level,Contract,On-site,"1,001-5,000 employees",0
7,8,1 week ago,2023-06-08,Claims Data Analyst III,NAMER,"AmTrust Financial Services, Inc.",Insurance,,Full-time,Remote,"5,001-10,000 employees",119
8,9,2 weeks ago,2023-06-08,Sr Biostatistician,NAMER,Syneos Health,Biotechnology Research,Mid-Senior level,Full-time,Remote,"10,001+ employees",78
9,10,3 days ago,2023-06-08,Senior SQL Database Developer,Latin America,Authority Partners,Information Technology & Services,Mid-Senior level,Full-time,Remote,"501-1,000 employees",89
10,11,3 days ago,2023-06-08,DBA Engineer,Latin America,Avenue Code,IT Services and IT Consulting,Entry level,Full-time,Remote,"1,001-5,000 employees",122
11,12,4 days ago,2023-06-08,Senior Data Quality Engineer,NAMER,"Upgrade, Inc.",Financial Services,Mid-Senior level,Full-time,Remote,"1,001-5,000 employees",70
12,13,3 weeks ago,2023-06-08,Data Analyst,"Whitehouse, NJ",Diverse Lynx,Software Development,Entry level,Contract,On-site,"1,001-5,000 employees",0
13,14,1 week ago,2023-06-08,Database Engineer,NAMER,Motive,Software Development,Associate,Full-time,Remote,"1,001-5,000 employees",369
14,15,2 weeks ago,2023-06-08,Strategic Pricing Analyst,NAMER,Jamf,Software Development,Mid-Senior level,Full-time,Remote,"1,001-5,000 employees",115
15,16,5 days ago,2023-06-08,Customer Success Specialist,Jerusalem,OrCam,Wellness and Fitness Services,Associate,Full-time,On-site,201-500 employees,39
16,17,5 days ago,2023-06-08,Risk Analyst,NAMER,Human Interest,Financial Services,Mid-Senior level,Full-time,Remote,"501-1,000 employees",108
17,18,2 weeks ago,2023-06-08,"Lead Product Specialist, Workday",NAMER,DoorDash,Software Development,Full-time,,Remote,"10,001+ employees",402
18,19,1 week ago,2023-06-08,Data Analyst,"Belfast, Northern Ireland, United Kingdom",Realtime Recruitment,Staffing and Recruiting,Entry level,Full-time,On-site,11-50 employees,24
19,20,3 days ago,2023-06-08,Senior Project Manager - Data Centre Construction,DACH,Charlton Morris,Staffing and Recruiting,Director,Full-time,Remote,51-200 employees,85
20,21,2 weeks ago,2023-06-08,Creative Developer,"México, Mexico",Jellyfish,Advertising Services,Mid-Senior level,Full-time,On-site,"1,001-5,000 employees",27
21,22,4 days ago,2023-06-08,SAS Data Analyst III,NAMER,"AmTrust Financial Services, Inc.",Insurance,,Full-time,Remote,"5,001-10,000 employees",199
22,23,1 week ago,2023-06-08,Principal Biostatistician,NAMER,Syneos Health,Biotechnology Research,Mid-Senior level,Full-time,Remote,"10,001+ employees",54
23,24,2 weeks ago,2023-06-08,"Systems Engineer, Workday",NAMER,DoorDash,Software Development,Full-time,,Remote,"10,001+ employees",448
24,25,3 days ago,2023-06-08,Biostatistics SME,NAMER,"Tunnell Consulting, Inc.",Pharmaceutical Manufacturing,Mid-Senior level,Full-time,Remote,51-200 employees,7
25,26,1 day ago,2023-06-08,M/M DATA ANALYST,"Boskydell, IL",Southern Illinois Healthcare,Hospitals and Health Care,Full-time,,Hybrid,"1,001-5,000 employees",0
26,27,3 weeks ago,2023-06-08,Marketing Analyst,EMEA,DoubleCloud,Staffing and Recruiting,Mid-Senior level,Full-time,Remote,1-10 employees,710
27,28,1 week ago,2023-06-08,"Product Analyst, Traffic Quality",NAMER,Liftoff Mobile,Advertising Services,Contract,,Remote,"501-1,000 employees",248
28,29,4 days ago,2023-06-08,Senior Engineering Manager,NAMER,Artera,Hospitals and Health Care,Mid-Senior level,Full-time,Remote,201-500 employees,76
29,30,3 weeks ago,2023-06-08,Research Consultant,EMEA,NatureFinance,Public Policy Offices,Mid-Senior level,Part-time,Remote,11-50 employees,885
30,31,2 weeks ago,2023-06-08,ETL Informatica Developer with Kinaxis,EMEA,Goldbridge Technology,Information Technology & Services,Mid-Senior level,Full-time,Remote,11-50 employees,337
31,32,3 weeks ago,2023-06-08,Data Analyst,"London, England, United Kingdom",Signicat,,Information Technology & Services,,On-site,No mention,0
32,33,4 days ago,2023-06-08,Senior/Lead Power BI Consultant,DACH,Cognitive Group | Part of the Focus Cloud Group,Staffing and Recruiting,Mid-Senior level,Full-time,Remote,51-200 employees,49
33,34,3 weeks ago,2023-06-08,Data Science Researcher (Blockchain),EMEA,Options Group,Staffing and Recruiting,,Full-time,Remote,201-500 employees,955
34,35,1 week ago,2023-06-08,Business Data Analyst,NAMER,"Reinsurance Group of America, Incorporated",Insurance,Full-time,,Remote,"1,001-5,000 employees",431
35,36,1 week ago,2023-06-08,Machine Learning Scientist,NAMER,Whatnot,"Technology, Information and Internet",Mid-Senior level,Full-time,Remote,201-500 employees,1382
36,37,5 days ago,2023-06-08,Material Data Analyst,NAMER,Material Bank®,Design Services,Entry level,Full-time,Remote,201-500 employees,200
37,38,3 weeks ago,2023-06-08,Data Analyst,"Plano, TX",Diverse Lynx,Software Development,Entry level,Contract,On-site,"1,001-5,000 employees",0
38,39,4 weeks ago,2023-06-08,Data Analyst,Latin America,NovoEd,E-Learning Providers,Entry level,Full-time,Remote,51-200 employees,1297
39,40,1 week ago,2023-06-08,Project Manager LATAM,Latin America,Yalo,Software Development,Entry level,Full-time,Remote,201-500 employees,130
40,41,3 weeks ago,2023-06-08,Senior Data Scientist,Latin America,TRACTIAN 𝗕𝗥,Software Development,Mid-Senior level,Full-time,Remote,51-200 employees,248
41,42,2 weeks ago,2023-06-08,"Staff Product Manager, International Markets",NAMER,Motive,Software Development,Mid-Senior level,Full-time,Remote,"1,001-5,000 employees",577
42,43,4 days ago,2023-06-08,Data Engineer,Latin America,AI Fund,Venture Capital and Private Equity Principals,Entry level,Full-time,Remote,11-50 employees,79
43,44,3 hours ago,2023-06-08,Customer Insight Analyst,"Southampton, England, United Kingdom",Maritime and Coastguard Agency,"Transportation, Logistics, Supply Chain and Storage",Mid-Senior level,Full-time,On-site,"1,001-5,000 employees",0
44,45,1 week ago,2023-06-08,USA Consumer Data Activation Analyst,NAMER,Mondelēz International,Food and Beverage Manufacturing,Full-time,,Remote,"10,001+ employees",160
45,46,3 days ago,2023-06-08,Data Analytics Manager,Central Africa,myAgro,International Trade and Development,Mid-Senior level,Full-time,Remote,201-500 employees,42
46,47,1 month ago,2023-06-08,Venture Capital Associate,"New York, NY",Mirae Asset Global Investments (USA) LLC,,Full-time,,On-site,No mention,1567
47,48,1 week ago,2023-06-08,"Workday HCM/HRIS Analyst, Workday (Remote, EMEA)",EMEA,Grafana Labs,Software Development,Mid-Senior level,Full-time,Remote,"501-1,000 employees",2213
48,49,2 weeks ago,2023-06-08,Regional Project Manager,NAMER,SentinelOne,Computer and Network Security,,Full-time,Remote,"1,001-5,000 employees",171
49,50,1 week ago,2023-06-08,Senior General Engineer,NAMER,PlayStation,Entertainment Providers,Full-time,,Remote,"5,001-10,000 employees",60
50,51,6 hours ago,2023-06-08,Data Analyst (F/H),"Tourcoing, Hauts-de-France, France",Vertbaudet,Retail Apparel and Fashion,Entry level,Full-time,Hybrid,"1,001-5,000 employees",14
51,52,2 weeks ago,2023-06-08,Data Engineer SC4823,Latin America,Nisum,IT Services and IT Consulting,Entry level,Full-time,Remote,"1,001-5,000 employees",86
52,53,5 days ago,2023-06-08,Senior Product Manager (AI),NAMER,LivePerson,Software Development,Mid-Senior level,Full-time,Remote,"1,001-5,000 employees",136
53,54,4 days ago,2023-06-08,"Analyst, Battery Markets & Technology - REMOTE",NAMER,E Source,Utilities,Full-time,,Remote,51-200 employees,124
54,55,2 days ago,2023-06-08,Senior Java Developer,"Ahmedabad, Gujarat, India",HOPS HEALTHCARE,Wellness and Fitness Services,Associate,Full-time,On-site,51-200 employees,15
55,56,3 days ago,2023-06-08,Project Coordinator,"Malvern, PA",ifm,Automation Machinery Manufacturing,Associate,Full-time,On-site,"5,001-10,000 employees",276
56,57,2 days ago,2023-06-08,Data analyst (H/F),"Massy, Île-de-France, France",CRIT France,Staffing and Recruiting,Entry level,Full-time,On-site,"5,001-10,000 employees",0
57,58,1 week ago,2023-06-08,Senior Data Scientist,NAMER,Motive,Software Development,Mid-Senior level,Full-time,Remote,"1,001-5,000 employees",2703
58,59,1 week ago,2023-06-08,Solutions Engineer,EMEA,Apryse,Software Development,Mid-Senior level,Full-time,Remote,201-500 employees,370
59,60,2 weeks ago,2023-06-08,Program Manager,"Bangalore, New South Wales, Australia",MiQ,Advertising Services,Mid-Senior level,Full-time,Hybrid,"501-1,000 employees",207
60,61,3 weeks ago,2023-06-08,Operations Associate,"Bangalore, New South Wales, Australia",BitGo,Financial Services,Entry level,Full-time,Unknown,51-200 employees,279
61,62,5 days ago,2023-06-08,"Business Analyst, Payroll LATAM",Latin America,Fresenius Medical Care,Hospitals and Health Care,Mid-Senior level,Full-time,Remote,"10,001+ employees",962
62,63,1 week ago,2023-06-08,SQL Data Analyst - Remote | WFH,"Portland, OR",Get It Recruit - Information Technology,Human Resources Services,Full-time,,Remote,1-10 employees,136
63,64,3 weeks ago,2023-06-08,Pipeline Data Analyst,"Omaha, NE","Metasys Technologies, Inc.",IT Services and IT Consulting,Entry level,Contract,On-site,201-500 employees,0
64,65,1 week ago,2023-06-08,Data Analyst Coordinator,"Hanover, PA",AquaPhoenix Scientific,Chemical Manufacturing,Entry level,Full-time,Hybrid,51-200 employees,12
65,66,3 days ago,2023-06-08,Data Analyst,"Woburn, MA",Woburn Public Schools,Primary and Secondary Education,Entry level,Full-time,On-site,"1,001-5,000 employees",0
66,67,5 days ago,2023-06-08,Senior Quality Engineer,NAMER,Material Bank®,Design Services,Mid-Senior level,Full-time,Remote,201-500 employees,102
67,68,1 week ago,2023-06-08,Senior Data Engineer,Latin America,OfferFit,Software Development,Mid-Senior level,Full-time,Remote,51-200 employees,68
68,69,2 weeks ago,2023-06-08,Senior Project Manager,"Munich, Bavaria, Germany",Sprinklr,Software Development,Mid-Senior level,Full-time,Hybrid,"1,001-5,000 employees",389
69,70,3 days ago,2023-06-08,Platform Engineering Manager,EMEA,Lingokids,E-Learning Providers,Mid-Senior level,Full-time,Remote,51-200 employees,941
70,71,4 days ago,2023-06-08,Account Receivable Analyst - Fully Remote - Work from anywhere!,EMEA,Omnipresent,Human Resources Services,Entry level,Contract,Remote,201-500 employees,1781
